id,text,fact_expressions,query_expressions,answer_expressions,fact_spans,query_spans
13176,椭圆$\frac{x^{2}}{2}+\frac{y^{2}}{3}=1$的离心率为?,G: Ellipse;Expression(G) = (x^2/2 + y^2/3 = 1),Eccentricity(G),sqrt(3)/3,"[[[0, 37]], [[0, 37]]]","[[[0, 43]]]"
9253,椭圆$\frac{x^{2}}{3}+\frac{y^{2}}{4}=1$的离心率是?,G: Ellipse;Expression(G) = (x^2/3 + y^2/4 = 1),Eccentricity(G),1/2,"[[[0, 37]], [[0, 37]]]","[[[0, 43]]]"
9183,椭圆$\frac{x^{2}}{2}+\frac{y^{2}}{4}=1$的焦点坐标为?,G: Ellipse;Expression(G) = (x^2/2 + y^2/4 = 1),Coordinate(Focus(G)),"(0, pm*sqrt(2))","[[[0, 37]], [[0, 37]]]","[[[0, 44]]]"
1867,若椭圆$\frac{x^{2}}{m}+\frac{y^{2}}{3}=1$的一个焦点在抛物线$y^{2}=8 x$的准线上，则$m$=?,"G: Parabola;H: Ellipse;m: Number;Expression(G) = (y^2 = 8*x);Expression(H) = (y^2/3 + x^2/m = 1);PointOnCurve(OneOf(Focus(H)), Directrix(G))",m,7,"[[[44, 58]], [[1, 38]], [[64, 67]], [[44, 58]], [[1, 38]], [[1, 62]]]","[[[64, 69]]]"
13247,若焦点在$x$轴上的椭圆$x^{2}+\frac{y^{2}}{m}=1$的离心率为$\frac{\sqrt {3}}{2}$，则$m$的值是?,"G: Ellipse;m: Number;Expression(G) = (x^2 + y^2/m = 1);PointOnCurve(Focus(G), xAxis);Eccentricity(G) = (sqrt(3)/2)",m,1/4,"[[[10, 37]], [[65, 68]], [[10, 37]], [[1, 37]], [[10, 63]]]","[[[65, 72]]]"
2211,椭圆$\frac{x^{2}}{4}+\frac{y^{2}}{3}=1$的离心率是?,G: Ellipse;Expression(G) = (x^2/4 + y^2/3 = 1),Eccentricity(G),1/2,"[[[0, 37]], [[0, 37]]]","[[[0, 43]]]"
10505,若椭圆$\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$的离心率为$\frac{\sqrt{3}}{2}$，则双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1$的渐近线方程是?,G: Hyperbola;b: Number;a: Number;H: Ellipse;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);a > b;b > 0;Expression(H) = (y^2/b^2 + x^2/a^2 = 1);Eccentricity(H) = sqrt(3)/2,Expression(Asymptote(G)),y = pm*x/2,"[[[80, 126]], [[3, 53]], [[3, 53]], [[1, 53]], [[80, 126]], [[3, 53]], [[3, 53]], [[1, 53]], [[1, 78]]]","[[[80, 134]]]"
13419,椭圆$\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$的离心率为$\frac{\sqrt {3}}{2}$，则双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1$的离心率为?,G: Hyperbola;b: Number;a: Number;H: Ellipse;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);a > b;b > 0;Expression(H) = (y^2/b^2 + x^2/a^2 = 1);Eccentricity(H) = sqrt(3)/2,Eccentricity(G),sqrt(5)/2,"[[[80, 126]], [[2, 52]], [[2, 52]], [[0, 52]], [[80, 126]], [[2, 52]], [[2, 52]], [[0, 52]], [[0, 78]]]","[[[80, 132]]]"
2586,椭圆$\frac{x^{2}}{7}+\frac{y^{2}}{3}=1$的离心率为?,G: Ellipse;Expression(G) = (x^2/7 + y^2/3 = 1),Eccentricity(G),2*sqrt(7)/7,"[[[0, 37]], [[0, 37]]]","[[[0, 43]]]"
10221,若抛物线$y=m x^{2}$的焦点与椭圆$\frac{x^{2}}{2}+\frac{y^{2}}{6}=1$的上焦点重合，则$m$=?,G: Parabola;m: Number;H: Ellipse;Expression(G) = (y = m*x^2);Expression(H) = (x^2/2 + y^2/6 = 1);Focus(G) = UpperFocus(H),m,1/8,"[[[1, 15]], [[64, 67]], [[19, 56]], [[1, 15]], [[19, 56]], [[1, 62]]]","[[[64, 69]]]"
