id,text,fact_expressions,query_expressions,answer_expressions,fact_spans,query_spans
13176,椭圆$\frac{x^{2}}{2}+\frac{y^{2}}{3}=1$的离心率为?,G: Ellipse;Expression(G) = (x^2/2 + y^2/3 = 1),Eccentricity(G),sqrt(3)/3,"[[[0, 37]], [[0, 37]]]","[[[0, 43]]]"
4742,已知双曲线$\frac{x^{2}}{4}-\frac{y^{2}}{m^{2}}=1(m>0)$的一条渐近线方程是$5 x-2 y=0$，则$m$=?,G: Hyperbola;m: Number;m>0;Expression(G) = (x^2/4 - y^2/m^2 = 1);Expression(OneOf(Asymptote(G))) = (5*x - 2*y = 0),m,5,"[[[2, 49]], [[71, 74]], [[5, 49]], [[2, 49]], [[2, 69]]]","[[[71, 76]]]"
11042,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0 , b>0)$的焦点到一条渐近线的距离等于实轴长，那么该双曲线 的离心率为?","G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Distance(Focus(G), OneOf(Asymptote(G))) = Length(RealAxis(G))",Eccentricity(G),sqrt(5),"[[[2, 59], [80, 83]], [[5, 59]], [[5, 59]], [[5, 59]], [[5, 59]], [[2, 59]], [[2, 76]]]","[[[80, 90]]]"
6710,"已知$F$点为双曲线$C$: $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的一个焦点，以点$F$为圆心的圆与$C$的渐近线相切，且与$C$交于$A$、$B$两点，若$A F \perp x$轴，则$C$的离心率为?","C: Hyperbola;b: Number;a: Number;G: Circle;A: Point;B:Point;F: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);OneOf(Focus(C)) = F;Center(G)=F;IsTangent(Asymptote(C),G);Intersection(G,C)={A,B};IsPerpendicular(LineSegmentOf(A,F),xAxis)",Eccentricity(C),sqrt(2),"[[[7, 68], [85, 88], [97, 100], [129, 132]], [[15, 68]], [[15, 68]], [[83, 84]], [[102, 105]], [[106, 109]], [[75, 79], [2, 6]], [[15, 68]], [[15, 68]], [[7, 68]], [[2, 73]], [[74, 84]], [[83, 94]], [[83, 111]], [[113, 127]]]","[[[129, 138]]]"
9213,"抛物线$x^{2}=a y$过点$A(1, \frac{1}{4})$，则点$A$到此抛物线的焦点的距离为?","G: Parabola;Expression(G) = (x^2 = a*y);a: Number;A: Point;Coordinate(A) = (1, 1/4);PointOnCurve(A, G)","Distance(A, Focus(G))",5/4,"[[[0, 14], [43, 46]], [[0, 14]], [[3, 14]], [[15, 35], [37, 41]], [[15, 35]], [[0, 35]]]","[[[37, 54]]]"
4627,双曲线$\frac{x^{2}}{3}-y^{2}=1$的虚轴长为?,G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1),Length(ImageinaryAxis(G)),2,"[[[0, 28]], [[0, 28]]]","[[[0, 34]]]"
4858,若椭圆$\frac{x^{2}}{m}+\frac{y^{2}}{4}=1$的焦点在$x$轴上，焦距为$2$，则实数$m$的值为?,"G: Ellipse;m: Real;Expression(G) = (y^2/4 + x^2/m = 1);PointOnCurve(Focus(G), xAxis);FocalLength(G) = 2",m,5,"[[[1, 38]], [[56, 61]], [[1, 38]], [[1, 47]], [[1, 54]]]","[[[56, 65]]]"
11133,设双曲线$m{x}^{2}+n y^{2}=1$的一个焦点与抛物线$y=\frac{1}{8} x^{2}$的焦点相同，离心率为$2$，则此双曲线的渐近线方程为?,G: Hyperbola;m: Number;n:Number;H: Parabola;Expression(G) = (m*x^2+n*n^2=1);Expression(H) = (y = x^2/8);OneOf(Focus(G))=Focus(H);Eccentricity(G)=2,Expression(Asymptote(G)),y=pm*(sqrt(3)/3)*x,"[[[1, 24], [70, 73]], [[4, 24]], [[4, 24]], [[30, 54]], [[1, 24]], [[30, 54]], [[1, 59]], [[1, 67]]]","[[[70, 81]]]"
3472,若双曲线$\frac{x^{2}}{7}-\frac{y^{2}}{t}=1$的焦点与椭圆$\frac{x^{2}}{25}+\frac{y^{2}}{9}=1$的焦点相同，则实数$t$=?,G: Hyperbola;Expression(G) = (x^2/7 - y^2/t = 1);t: Real;H: Ellipse;Expression(H) = (x^2/25 + y^2/9 = 1);Focus(G) = Focus(H),t,9,"[[[1, 39]], [[1, 39]], [[88, 93]], [[43, 81]], [[43, 81]], [[1, 86]]]","[[[88, 95]]]"
13292,椭圆$\frac{y^{2}}{m+2}+\frac{x^{2}}{m-2}=1$的两个焦点坐标分别为?,G: Ellipse;m: Number;Expression(G) = (x^2/(m - 2) + y^2/(m + 2) = 1),Coordinate(Focus(G)),"(0, pm*2)","[[[0, 41]], [[2, 41]], [[0, 41]]]","[[[0, 52]]]"
